Date,Total Rigs,Onshore,Offshore,Crude Oil,Natural Gas
1987/8/1,1003,894,109,626,352
1987/9/1,1101,987,114,713,364
1987/10/1,1124,1008,116,727,377
1987/11/1,1152,1034,118,746,386
1987/12/1,1162,1034,128,746,403
1988/1/1,1076,949,127,663,391
1988/2/1,976,853,123,575,375
1988/3/1,951,832,119,582,338
1988/4/1,917,800,117,567,316
1988/5/1,891,768,123,562,300
1988/6/1,897,773,124,554,309
1988/7/1,912,786,126,568,309
1988/8/1,930,807,123,565,335
1988/9/1,927,805,122,512,390
1988/10/1,923,801,122,518,377
1988/11/1,918,789,129,490,406
1988/12/1,924,797,127,507,397
1989/1/1,841,731,110,455,364
1989/2/1,762,667,95,392,347
1989/3/1,753,660,93,407,325
1989/4/1,771,679,92,427,322
1989/5/1,754,662,92,431,311
1989/6/1,795,692,103,423,357
1989/7/1,832,718,114,432,386
1989/8/1,886,772,114,437,438
1989/9/1,955,848,107,460,484
1989/10/1,984,878,106,493,482
1989/11/1,1041,922,119,532,498
1989/12/1,1065,948,117,541,517
1990/1/1,998,885,113,514,477
1990/2/1,911,806,105,492,412
1990/3/1,905,797,108,478,421
1990/4/1,935,824,111,484,447
1990/5/1,961,841,120,493,465
1990/6/1,999,886,113,498,495
1990/7/1,1010,902,108,497,496
1990/8/1,987,879,108,506,466
1990/9/1,1042,935,107,566,460
1990/10/1,1073,974,99,588,469
1990/11/1,1137,1031,106,615,495
1990/12/1,1136,1035,101,643,460
1991/1/1,1068,977,91,633,413
1991/2/1,984,896,88,564,405
1991/3/1,929,848,81,520,389
1991/4/1,865,770,95,469,374
1991/5/1,819,721,98,430,354
1991/6/1,867,774,93,483,342
1991/7/1,844,764,80,472,332
1991/8/1,803,735,68,451,326
1991/9/1,775,704,71,433,314
1991/10/1,795,727,68,433,330
1991/11/1,808,736,72,457,328
1991/12/1,796,731,65,469,308
1992/1/1,710,654,56,400,294
1992/2/1,669,618,51,378,277
1992/3/1,648,594,54,381,250
1992/4/1,642,587,55,370,251
1992/5/1,638,591,47,358,260
1992/6/1,621,577,44,343,260
1992/7/1,676,628,48,349,310
1992/8/1,686,635,51,334,331
1992/9/1,717,672,45,345,356
1992/10/1,803,750,53,392,399
1992/11/1,882,822,60,418,451
1992/12/1,926,867,59,397,509
1993/1/1,824,752,72,335,454
1993/2/1,684,615,69,311,334
1993/3/1,611,549,62,315,268
1993/4/1,612,543,69,320,270
1993/5/1,637,564,73,323,294
1993/6/1,695,612,83,350,327
1993/7/1,741,656,85,368,360
1993/8/1,797,710,87,397,390
1993/9/1,848,759,89,418,421
1993/10/1,860,767,93,441,411
1993/11/1,868,769,99,453,408
1993/12/1,857,754,103,425,426
1994/1/1,789,690,99,356,425
1994/2/1,754,659,95,337,405
1994/3/1,735,636,99,323,403
1994/4/1,723,617,106,314,398
1994/5/1,716,612,104,320,382
1994/6/1,756,643,113,331,408
1994/7/1,771,664,107,341,415
1994/8/1,766,671,95,320,433
1994/9/1,809,712,97,325,471
1994/10/1,822,723,99,342,467
1994/11/1,835,729,106,361,460
1994/12/1,816,709,107,354,447
1995/1/1,748,642,106,325,411
1995/2/1,713,613,100,326,375
1995/3/1,665,575,90,322,331
1995/4/1,678,587,91,328,336
1995/5/1,679,579,100,325,335
1995/6/1,674,578,96,301,352
1995/7/1,723,619,104,301,399
1995/8/1,745,642,103,327,399
1995/9/1,765,662,103,333,413
1995/10/1,761,656,105,332,414
1995/11/1,772,668,104,330,430
1995/12/1,763,654,109,325,427
1996/1/1,709,598,111,295,406
1996/2/1,700,598,102,283,411
1996/3/1,714,618,96,286,421
1996/4/1,741,628,113,286,446
1996/5/1,764,648,116,288,467
1996/6/1,774,662,112,298,471
1996/7/1,784,677,107,290,488
1996/8/1,811,703,108,297,488
1996/9/1,811,702,109,301,505
1996/10/1,836,728,108,328,499
1996/11/1,848,741,107,363,482
1996/12/1,852,736,116,361,489
1997/1/1,822,712,110,342,478
1997/2/1,849,742,107,356,492
1997/3/1,897,770,127,377,518
1997/4/1,901,775,126,373,526
1997/5/1,924,804,120,379,541
1997/6/1,976,855,121,396,577
1997/7/1,969,844,125,382,584
1997/8/1,993,868,125,409,581
1997/9/1,1009,881,128,392,614
